Edad,Genero,Rasgos,Mes,Hora,Ciudad,Estacion,Dia Festivo,Tipo de Refresco,Region de la Ciudad
40,1,1,6,20,39,0,1,16,0
13,1,5,9,14,44,0,1,10,0
18,1,2,0,18,17,1,0,7,0
52,0,4,1,20,23,0,0,0,3
30,0,3,3,8,28,0,1,2,3
66,0,2,1,16,0,1,0,17,3
16,1,0,8,18,8,0,0,10,0
26,1,4,9,12,3,0,0,13,0
29,0,0,3,14,6,1,1,2,3
27,1,0,3,15,46,1,1,2,2
14,1,4,5,13,12,1,0,20,0
61,0,3,11,20,9,0,1,9,3
36,1,1,0,10,63,1,1,13,0
32,1,5,10,20,62,0,0,3,0
54,0,5,2,20,54,1,0,7,0
31,0,3,9,15,29,1,1,9,3
36,0,0,7,11,51,0,1,13,3
45,1,5,8,11,14,1,1,20,3
32,0,3,3,19,64,0,0,19,2
47,0,3,5,17,36,0,0,20,0
33,0,5,1,12,51,1,0,0,3
46,0,2,0,8,58,0,0,20,0
40,0,2,0,22,4,0,1,4,0
66,1,4,11,8,50,0,0,8,3
58,0,4,5,8,14,1,1,13,3
53,0,4,9,8,57,0,0,6,0
30,0,5,0,15,16,0,0,3,0
22,0,4,11,20,56,1,0,13,3
67,0,5,6,9,10,1,0,10,3
16,1,2,4,9,10,1,0,17,3
45,1,1,4,14,6,0,1,15,3
30,0,4,11,14,65,1,1,2,3
63,1,4,0,9,1,1,0,9,3
52,0,3,7,14,28,0,0,13,3
18,0,0,11,20,15,1,1,10,3
48,1,1,3,14,39,0,1,5,0
48,0,5,11,11,26,1,0,9,3
26,1,0,8,22,38,1,1,11,2
15,1,2,6,13,52,0,1,17,0
50,1,0,3,8,51,0,1,9,3
28,0,0,1,21,68,1,1,17,2
54,1,5,5,21,42,1,1,8,0
61,1,0,10,19,13,1,1,3,2
45,0,2,5,22,50,1,0,15,3
60,1,5,9,19,24,1,1,10,0
56,1,2,5,15,63,0,0,6,0
56,0,4,8,8,26,1,0,11,3
37,0,3,7,14,26,1,0,20,3
16,1,5,8,8,35,1,1,9,0
36,0,1,4,16,42,0,1,13,0
10,1,4,5,21,33,0,0,13,0
60,1,4,0,13,49,0,0,3,2
66,1,0,3,14,27,0,0,3,0
55,1,2,7,18,9,0,1,2,3
49,0,3,4,20,15,0,0,10,3
32,0,3,7,16,44,1,1,8,0
16,0,5,10,22,20,0,0,3,3
42,1,1,6,10,49,0,0,11,2
22,0,4,6,12,48,0,0,3,1
57,1,0,8,16,0,0,1,13,3
12,1,4,5,13,17,1,0,7,0
67,1,1,9,15,54,1,1,4,0
41,1,2,11,15,26,0,1,13,3
50,1,0,6,12,57,0,0,17,0
29,0,0,3,18,45,1,1,9,1
21,0,3,8,22,54,1,0,17,0
16,0,1,7,16,67,1,1,3,0
21,0,5,1,9,45,1,1,2,1
47,1,0,3,18,4,0,0,20,0
65,0,3,5,8,66,1,1,8,0
43,1,0,8,16,45,0,0,0,1
16,0,4,1,17,68,0,1,1,2
45,1,5,3,12,2,0,0,5,3
59,0,3,9,16,55,0,1,5,0
23,0,3,10,16,28,1,1,18,3
27,1,1,10,13,45,0,0,17,1
48,0,1,4,13,61,0,0,6,0
19,0,3,11,9,39,1,0,7,0
33,0,4,2,14,27,0,1,3,0
38,0,0,1,19,64,1,1,1,2
52,1,3,8,14,65,0,0,0,3
44,1,0,6,14,42,0,0,13,0
10,0,0,0,11,15,0,1,7,3
14,1,4,11,14,45,0,1,0,1
38,1,2,9,15,56,1,1,13,3
27,0,5,5,14,55,0,0,1,0
27,0,5,9,20,1,0,1,1,3
45,0,5,0,18,22,0,0,13,0
29,1,4,8,16,29,0,1,6,3
60,1,3,2,22,61,1,0,19,0
57,0,4,1,22,36,0,1,7,0
66,0,4,3,15,60,1,1,7,0
41,1,1,11,20,50,1,1,10,3
12,0,1,5,20,26,1,1,7,3
13,1,3,11,10,12,1,1,20,0
63,1,1,0,20,27,0,0,9,0
21,0,4,0,10,66,0,0,2,0
23,1,3,0,9,55,1,0,10,0
10,1,1,0,13,21,0,0,6,3
36,0,3,0,13,69,1,1,9,2
69,1,1,4,15,56,0,0,13,3
48,0,3,0,20,37,1,1,0,0
61,1,5,5,13,11,1,0,20,3
24,1,5,4,20,46,1,0,13,2
34,1,4,10,19,21,0,1,6,3
40,0,0,2,22,2,0,1,12,3
19,1,3,0,11,24,1,0,5,0
13,1,4,2,12,33,0,0,13,0
35,0,5,8,15,15,0,1,0,3
45,1,4,2,16,34,1,0,0,0
22,1,1,7,15,64,0,0,12,2
19,1,3,11,19,28,0,1,18,3
69,1,4,11,15,10,0,0,0,3
18,0,5,6,9,32,1,0,7,0
40,1,2,6,18,4,1,1,17,0
45,0,3,2,22,5,0,0,18,0
36,1,2,8,21,59,0,0,0,0
18,1,1,3,17,52,0,1,1,0
51,1,5,5,16,7,0,1,0,3
46,1,1,8,13,31,1,0,4,3
46,0,0,0,15,69,0,1,7,2
50,0,4,5,11,9,0,1,3,3
23,0,5,10,14,18,1,1,6,0
44,0,2,4,14,30,1,0,14,2
51,0,1,2,10,55,0,1,9,0
23,0,4,1,12,63,1,0,17,0
64,0,0,3,13,0,1,1,13,3
18,0,3,5,15,4,1,0,0,0
40,0,3,2,20,31,1,1,11,3
39,1,0,6,19,50,1,0,14,3
59,0,3,1,13,53,0,0,20,0
27,0,4,5,17,43,1,1,12,0
25,1,1,7,10,45,1,0,2,1
20,0,5,8,19,34,1,0,19,0
55,0,4,9,11,19,0,1,17,3
35,1,1,8,21,28,0,0,2,3
29,0,0,11,21,26,0,0,6,3
43,0,0,2,14,47,0,0,13,0
65,1,0,5,18,50,0,0,16,3
21,1,2,1,11,62,1,1,19,0
19,1,1,2,14,17,0,1,10,0
17,0,2,3,22,33,0,0,13,0
29,1,5,9,21,37,0,0,7,0
36,1,1,8,13,25,1,0,1,0
36,1,5,1,8,13,0,1,9,2
31,0,0,7,14,20,1,1,10,3
42,1,2,9,18,56,1,0,19,3
20,1,3,1,21,69,1,0,8,2
30,0,3,10,19,20,0,0,18,3
31,0,3,3,19,69,0,0,11,2
15,0,5,4,16,20,1,1,9,3
52,1,2,3,10,18,1,1,10,0
40,0,1,9,13,61,1,0,15,0
70,0,3,3,16,10,0,1,15,3
13,1,2,11,11,32,1,1,13,0
17,1,5,10,21,21,0,1,13,3
69,0,3,5,16,29,0,0,20,3
24,0,3,2,9,7,1,1,10,3
61,1,1,1,20,5,0,1,17,0
68,1,0,7,11,30,0,0,20,2
